DataSet,Execution Time,No_Of_Comparisons,,,B_Execution_Time,B_Comparison
100,0,542,,100,0,504,
200,0,2172,,200,0,932,
300,0,3944,,300,0,2091,
500,0,6956,,500,0,4230,
1000,0,9729,,1000,0,14166,
2000,0,27609,,2000,0.0156211,21177,
3000,0.0156214,32009,,3000,0.0156211,42067,
5000,0.0312419,73255,,5000,0.031243,66758,
10000,0.156213,182743,,10000,0.140592,166769,
20000,0.577989,426454,,20000,0.577989,342541,
30000,1.29657,512663,,30000,1.29657,571586,
50000,3.5929,943589,,50000,3.60852,1.04209e+006,
100000,14.4029,2.06148e+006,,100000,14.4029,2.39052e+006,
